pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
-50,x,14,0,56,0,,,,,154.0977306799614,155.08439197397092,155.08439197397092,155.08439197397092,155.08439197397092,155.1011150839622,156.08669368200935,156.08669368200935,x,1,0.2839884430868551,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
150,v,14,1,57,1,,,,,156.38729094300652,157.37354349601083,157.37354349601083,157.37354349601083,157.37354349601083,157.39000118197873,158.3761877180077,158.3761877180077,v,1,0.19080289104022086,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
50,c,14,2,58,2,,,,,158.61031003895914,159.59649550897302,159.59649550897302,159.59649550897302,159.59649550897302,159.61323499900755,160.5984588189749,160.5984588189749,c,1,0.2350816740654409,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
-150,z,14,3,59,3,,,,,160.86601933999918,161.8520678319619,161.8520678319619,161.8520678319619,161.8520678319619,161.86878981697373,162.85500231198967,162.85500231198967,z,1,0.2549725840217434,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
-50,x,15,0,60,0,,,,,163.13903108797967,164.1246846819995,164.1246846819995,164.1246846819995,164.1246846819995,164.14165190397762,165.12737752799876,165.12737752799876,x,1,0.22993387706810609,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
150,v,15,1,61,1,,,,,165.37790965399472,166.3643320549745,166.3643320549745,166.3643320549745,166.3643320549745,166.38143589696847,167.3670330439927,167.3670330439927,v,1,0.26576512202154845,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
50,c,15,2,62,2,,,,,167.65077720896807,168.636735217995,168.636735217995,168.636735217995,168.636735217995,168.65346565900836,169.63953393499833,169.63953393499833,c,1,0.2359908630605787,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
-150,z,15,3,63,3,,,,,169.90691535297083,170.8929436400067,170.8929436400067,170.8929436400067,170.8929436400067,170.9098800990032,171.89546808495652,171.89546808495652,z,1,0.2355963850277476,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
-50,x,16,0,64,0,,,,,172.162935180997,173.14881284098374,173.14881284098374,173.14881284098374,173.14881284098374,173.16543428995647,174.15143465995789,174.15143465995789,x,1,0.3190933030564338,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
150,v,16,1,65,1,,,,,174.5024403919815,175.48846765497,175.48846765497,175.48846765497,175.48846765497,175.50551728898427,176.49121131497668,176.49121131497668,v,1,0.27907531906384975,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
